countrygrouprelationid,countrygroupid,countryid
1763,5000,300
1764,5000,304
1765,5000,308
1766,5000,312
1767,5000,316
1768,5000,320
1769,5000,831
1770,5000,324
1771,5000,624
1772,5000,328
1773,5000,332
1774,5000,334
1775,5000,336
1776,5000,340
1777,5000,348
1778,5000,352
1779,5000,356
1780,5000,360
1781,5000,364
1782,5000,368
1783,5000,372
1784,5000,833
1785,5000,376
1786,5000,380
1787,5000,388
1788,5000,392
1789,5000,832
1790,5000,396
1791,5000,400
1792,5000,398
1793,5000,404
1794,5000,296
1795,5000,412
1796,5000,414
1797,5000,417
1798,5000,418
1799,5000,428
1800,5000,422
1801,5000,426
1802,5000,430
1803,5000,434
1804,5000,438
1805,5000,440
1806,5000,442
1807,5000,450
1808,5000,454
1809,5000,458
1810,5000,462
1811,5000,466
1812,5000,470
1813,5000,584
1814,5000,474
1815,5000,478
1816,5000,480
1817,5000,175
1818,5000,484
1819,5000,583
1820,5000,57.01
1821,5000,488
1822,5000,492
1823,5000,496
1824,5000,499
1825,5000,500
1826,5000,504
1827,5000,508
1828,5000,104
1829,5000,516
1830,5000,520
1831,5000,524
1832,5000,528
1833,5000,530
1834,5000,540
1835,5000,554
1836,5000,558
1837,5000,562
1838,5000,566
1839,5000,570
1840,5000,574
1841,5000,807
1842,5000,21.01
1843,5000,154.01
1844,5000,580
1845,5000,578
1846,5000,512
1847,5000,582
1848,5000,586
1849,5000,585
1850,5000,275
1851,5000,591
1852,5000,598
1853,5000,600
1854,5000,604
1855,5000,608
1856,5000,612
1857,5000,616
1858,5000,286
1859,5000,620
1860,5000,630
1861,5000,634
1862,5000,410
1863,5000,498
1864,5000,638
